ia_rms,ia_ang,ib_rms,ib_ang,ic_rms,ic_ang,in_rms,in_ang,va_rms,va_ang,vb_rms,vb_ang,vc_rms,vc_ang
101.256,278.037,104.048,155.743,112.736,31.715,52.841,7.829,88036.734,103.615,88480.883,343.176,87720.742,223.114
101.179,285.425,104.202,163.266,112.656,39.242,52.292,15.538,88037.586,111.116,88481.641,350.676,87720.742,230.614
101.227,292.817,104.122,170.797,112.656,46.774,52.378,23.679,88038.141,118.617,88484.367,358.176,87720.141,238.114
101.349,300.369,104.122,178.288,112.594,54.274,52.535,31.02,88039.281,126.118,88486.32,5.676,87719.648,245.614
101.421,307.966,104.033,185.788,112.648,61.815,52.763,38.116,88039.281,133.619,88487.086,13.176,87719.531,253.115
101.104,315.51,104.124,193.294,112.6,69.27,52.319,44.903,88039.578,141.119,88485.992,20.676,87719.531,260.615
100.932,322.852,104.035,200.781,112.523,76.818,52.17,54.082,88039.258,148.619,88485.32,28.176,87719.547,268.115
100.746,330.284,104.276,208.301,112.44,84.416,51.534,62.23,88038.563,156.119,88483.172,35.677,87719.508,275.615
100.746,337.728,104.209,215.723,112.44,92.067,51.702,72.633,88035.617,163.619,88481.266,43.178,87719.875,283.115
100.642,345.228,104.209,223.255,112.44,99.567,51.552,79.354,88035.617,171.118,88480.086,50.679,87720.023,290.616
100.642,352.713,104.251,230.755,112.511,107.067,51.267,87.658,88035.617,178.618,88479.297,58.18,87719.828,298.116
100.642,0.213,104.313,238.213,112.584,114.712,50.98,96.795,88036.789,186.118,88479.297,65.681,87719.828,305.616
100.748,7.713,104.34,245.621,112.536,122.303,51.027,105.915,88036.789,193.618,88479.766,73.181,87720.094,313.116
100.748,15.206,104.322,253.071,112.484,129.761,51.161,113.022,88037.883,201.118,88480.047,80.68,87720.383,320.616
100.952,22.706,104.305,260.623,112.424,137.222,51.329,119.766,88037.883,208.618,88480.125,88.179,87720.383,328.116
101.152,30.162,104.3,268.177,112.486,144.688,51.427,125.45,88037.883,216.118,88480.023,95.678,87720.727,335.616
100.97,37.606,104.282,275.731,112.621,152.217,51.132,132.263,88037.609,223.618,88480.203,103.177,87720,343.116
100.888,45.174,104.282,283.123,112.763,159.764,50.924,141.581,88037.375,231.118,88480.477,110.677,87719.234,350.616
100.888,52.714,104.458,290.623,112.683,167.299,51.182,149.832,88036.977,238.618,88480.477,118.178,87719.633,358.116
100.888,60.214,104.513,298.326,112.596,174.787,51.296,156.288,88036.508,246.119,88480.242,125.678,87720.414,5.616
100.934,67.714,104.3,305.874,112.506,182.283,51.258,163.277,88036.164,253.619,88480.781,133.178,87720.805,13.116
100.934,75.162,104.137,313.242,112.596,189.785,51.097,170.898,88036.102,261.12,88481.375,140.678,87720.805,20.616
100.958,82.662,104.226,320.662,112.51,197.276,51.211,178.657,88036.039,268.62,88480.734,148.178,87720.805,28.116
100.958,90.106,104.226,328.197,112.588,204.791,51.121,186.128,88036.086,276.122,88481.766,155.678,87720.195,35.616
100.962,97.606,104.133,335.697,112.726,212.27,50.953,193.54,88036.18,283.622,88482.859,163.178,87719.922,43.116
100.979,105.218,104.039,343.174,112.784,219.716,50.899,200.574,88036.461,291.122,88482.859,170.679,87719.211,50.616
101.006,112.772,103.845,350.659,112.881,227.184,50.708,207.798,88036.086,298.623,88483.25,178.179,87718.609,58.117
101.006,120.324,103.845,358.141,112.84,234.61,50.807,214.41,88036.539,306.122,88481.297,185.679,87718.445,65.617
101.006,127.824,103.738,5.641,112.873,242.151,50.651,222.345,88035.484,313.623,88480.523,193.179,87718.563,73.118
100.95,135.324,103.522,13.146,112.901,249.607,50.552,229.078,88034.297,321.122,88479.07,200.679,87718.563,80.617
100.705,142.785,103.629,20.671,112.901,257.06,50.75,236.009,88033.648,328.621,88477.039,208.179,87718.641,88.117
100.573,150.148,103.629,28.152,112.901,264.56,50.868,244.776,88032.953,336.121,88476.117,215.68,87718.563,95.616
100.501,157.591,103.719,35.652,112.901,272.06,50.993,252.97,88033.328,343.621,88475.844,223.18,87718.656,103.116
100.351,165.07,103.792,43.12,112.928,279.56,51.296,261.208,88034.477,351.121,88475.609,230.68,87718.227,110.616
100.272,172.541,103.73,50.583,112.928,287.109,51.296,270.621,88034.477,358.621,88475.609,238.181,87718.602,118.115
100.188,180.033,103.632,58.125,112.819,294.609,51.188,278.121,88034.477,6.121,88476.086,245.681,87718.375,125.616
100.272,187.533,103.676,65.718,112.819,302.018,51.188,284.853,88034.477,13.621,88476.203,253.18,87718.109,133.116
100.186,195.026,103.714,73.168,112.893,309.518,51.409,292.353,88035.195,21.121,88475.992,260.68,87717.234,140.616
100.103,202.54,103.746,80.616,112.893,317.057,51.569,300.921,88035.539,28.621,88475.992,268.18,87717.234,148.115
100.103,210.062,103.706,88.062,112.808,324.557,51.284,309.077,88034.32,36.121,88475.93,275.68,87718.266,155.615
